"USDC",2021,10,5,22,80242674.962446,1471
"USDC",2021,10,5,23,32912407.782347,1346
"USDC",2021,10,6,0,89250842.524683,1247
"USDC",2021,10,6,1,169060198.259536,1112
"USDC",2021,10,6,2,54475998.838651,1008
"USDC",2021,10,6,3,99957515.391412,1219
"USDC",2021,10,6,4,64004116.938172,1074
"USDC",2021,10,6,5,31267781.962918,592
"USDC",2021,10,6,6,31318681.169721,834
"USDC",2021,10,6,7,38055108.911533,851
"USDC",2021,10,6,8,154123674.1176,898
"USDC",2021,10,6,9,181868392.77056,1164
"USDC",2021,10,6,10,47891137.465016,1234
"USDC",2021,10,6,11,45177242.962399,1165
"USDC",2021,10,6,12,105508804.773535,1396
"USDC",2021,10,6,13,311567442.577438,1989
"USDC",2021,10,6,14,287546866.107049,1958
"USDC",2021,10,6,15,103528061.51755,1791
"USDC",2021,10,6,16,114419563.202657,1581
"USDC",2021,10,6,17,126276114.402653,1513
"USDC",2021,10,6,18,82492057.707145,1370
"USDC",2021,10,6,19,113947258.671032,1478
"USDC",2021,10,6,20,95554086.210378,1458
"USDC",2021,10,6,21,139554959.896988,1411
"USDC",2021,10,6,22,288661314.16153,1128
"USDC",2021,10,6,23,105411122.635909,1293
"USDC",2021,10,7,0,55214228.090498,1107
"USDC",2021,10,7,1,87928657.970629,1111
"USDC",2021,10,7,2,108108758.411731,1053
"USDC",2021,10,7,3,329025433.07457,1394
"USDC",2021,10,7,4,278243305.718088,1310
"USDC",2021,10,7,5,48597646.678055,804
"USDC",2021,10,7,6,339974060.289354,1003
"USDC",2021,10,7,7,243613985.570516,978
"USDC",2021,10,7,8,76954830.40541,1035
"USDC",2021,10,7,9,410051625.634189,1251
"USDC",2021,10,7,10,121178736.052162,1219
"USDC",2021,10,7,11,206242651.408199,1297
"USDC",2021,10,7,12,105354644.562292,1248
"USDC",2021,10,7,13,93305272.016711,1297
"USDC",2021,10,7,14,267616768.463171,1482
"USDC",2021,10,7,15,161568865.900483,2038
"USDC",2021,10,7,16,162439222.814016,1631
"USDC",2021,10,7,17,103032982.466157,1430
"USDC",2021,10,7,18,106353286.415708,1702
"USDC",2021,10,7,19,86941055.265924,1317
"USDC",2021,10,7,20,316136235.614958,1516
"USDC",2021,10,7,21,57434099.124418,1093
"USDC",2021,10,7,22,130423241.903939,1074
"USDC",2021,10,7,23,90736280.031789,1368
"USDC",2021,10,8,0,343621456.943656,1442
"USDC",2021,10,8,1,280581712.105664,1343
"USDC",2021,10,8,2,134680814.558698,1161
"USDC",2021,10,8,3,74249398.51852,897
"USDC",2021,10,8,4,28511605.087184,1056
"USDC",2021,10,8,5,37981439.291733,944
"USDC",2021,10,8,6,65466972.509832,772
"USDC",2021,10,8,7,102436240.189835,1036
"USDC",2021,10,8,8,139687198.449634,1049
"USDC",2021,10,8,9,112468477.906736,1142
"USDC",2021,10,8,10,306532453.132859,1165
