"USDC","0x0000006daea1723962647b7e189d311d757fb793",259253190.532905,76
"USDC","0x00000092efe40470c25228372310142836f1eda6",5000000,1
"USDC","0x000018bbb8df8de9e3eaf772db1c4eec228ef06c",5000000,1
"USDC","0x0000f079e68bbcc79ab9600ace786b0a4db1c83c",277606363,87
"USDC","0x0001d1fb9b9e51e5e95366fb34e1221f81428973",3000835.824032,2
"USDC","0x000f7f22bfc28d940d4b68e13213ab17cf107790",35655579.160609,10
"USDC","0x003c45f4ca95dee0ff172cf4904713bf894578a9",1310422.040701,2
"USDC","0x0042372e5ac4ddf1207b383c99c8372e40388860",1750000,27
"USDC","0x004f74a8388ce91950f29ea3e37ef604693a6395",3830000,7
"USDC","0x005e9775fe111c44bd87fc66bf37ee459dcca624",1600000,5
"USDC","0x007a40b6b3d0fef39b56ab163a79e964247fc291",1119538.39087,5
"USDC","0x007cb2d47f161620cd6ce46facc1e2f6d5fd6bb9",1989988.04,1
"USDC","0x007e4195a6c8f68801c0673ec561c38fed803021",1051340,1
"USDC","0x0087a89ab94206ce1a13abcf8aa5ba32c51bd5c6",3784725,3
"USDC","0x008cf75d1eeaf94420eec9f5edb89a6a8abd10a9",17497848.278552,34
"USDC","0x0093e5f2a850268c0ca3093c7ea53731296487eb",2065524.336276,129
"USDC","0x009c22367fdfe1ff42ea75c2a957e2bd43f25960",1975062.607642,3
"USDC","0x00c40431e7be6d2ab48d0ab9b11d01aa06116e9b",1500000,1
"USDC","0x00dad15eacbabe05058756fc4ddd526418335e1b",9950525,3
"USDC","0x00e5a16631c257366e26005de7eea1457cc35414",6245180.429798,4
"USDC","0x01162e3d2c6771b3eca319d054e554ffacf55490",4795552.421581,3
"USDC","0x0157d1df1fc3085855c4a86fe43013837aae0a0d",1990010,2
"USDC","0x015e0e406e650fd24c3a217d9b16d822b0829479",1384182.432,25
"USDC","0x015f33f8f2407833dbeea913438e19380a22d2f2",1883140.508,4
"USDC","0x0176d5c9db66e0ed0c35b049d4a64eba0d917929",1678718.322467,6
"USDC","0x018f1220c21f9a6b7d391cb65010209975027c43",1259653.0608,1
"USDC","0x019c301ac3edb7591a09cd659b772a9f24359c71",1400000,1
"USDC","0x01ac5f82f5d4485a4f6982e293220ab07b0903fa",1610995,14
"USDC","0x01e79ff04a66ce034758172f8b422b0f8115921b",1745612.82,2
"USDC","0x01ef58f6da209f1fc541a7d4b857035089ababc8",6500000,1
"USDC","0x01f0ef1d495e92cc4f372aa516c029284b99e421",62498940.315368,8
"USDC","0x02074984dab902181b4263f52f6b5437f011b606",8100000,12
